Degree,Major,Specialization,CGPA,Skills,Certifications,Experience,Preferred_Industry,Job_Role
MBA,Business Administration,Digital Marketing,9.28,"Research, Copywriting, Social Media Marketing, Branding, Communication, Content Writing, Creativity","HubSpot Content Marketing, Google Digital Marketing, Social Media Strategy",2.1,Advertising,Content Strategist
BBA,Marketing,SEO Strategy,8.17,"Research, Communication, Content Writing, Branding","HubSpot Content Marketing, Google Digital Marketing",0.8,Media,Content Strategist
MBA,Digital Media,Copywriting,6.92,"Analytics, Social Media Marketing, Content Writing, Research, Copywriting","Copywriting Certification, SEO Certification",0.3,IT Services,Content Strategist
BA,Communication,Brand Communication,7.41,"WordPress, Research, Branding, Creativity, Social Media Marketing, Analytics","SEO Certification, HubSpot Content Marketing",2.1,IT Services,Content Strategist
B.Tech,Digital Media,Brand Communication,6.86,"Communication, WordPress, Content Writing, SEO, Social Media Marketing, Creativity, Copywriting","Google Digital Marketing, SEO Certification, Social Media Strategy",2.5,Media,Content Strategist
B.Tech,Digital Media,Brand Communication,7.44,"Communication, Content Writing, Social Media Marketing, Copywriting, Creativity, SEO, Analytics","Copywriting Certification, Google Digital Marketing, HubSpot Content Marketing",4.4,E-commerce,Content Strategist
B.Tech,Marketing,Content Marketing,9.35,"WordPress, Research, Communication, Analytics, Creativity, Copywriting, Branding",Social Media Strategy,1.5,EdTech,Content Strategist
B.Tech,Journalism,Content Marketing,7.49,"Social Media Marketing, Communication, Content Writing, Research, WordPress, Branding","Social Media Strategy, HubSpot Content Marketing",3.5,Media,Content Strategist
BA,Communication,Media Studies,7.36,"WordPress, Research, Creativity, Social Media Marketing, Branding, Communication, Content Writing",Google Digital Marketing,0.7,IT Services,Content Strategist
MBA,Communication,Copywriting,7.87,"Branding, WordPress, Research, Creativity, Copywriting, Social Media Marketing","Social Media Strategy, HubSpot Content Marketing",1.7,E-commerce,Content Strategist
B.Tech,Computer Science,Digital Marketing,9.66,"Research, Branding, Copywriting, Communication, Content Writing, Creativity",Social Media Strategy,0.3,Media,Content Strategist
BA,Journalism,Digital Marketing,7.59,"Research, WordPress, Social Media Marketing, Creativity","Copywriting Certification, SEO Certification",3.0,IT Services,Content Strategist
BBA,Journalism,Media Studies,8.13,"Branding, Communication, Creativity, Research, SEO","SEO Certification, Google Digital Marketing",3.9,Advertising,Content Strategist
BA,Digital Media,Media Studies,9.15,"Branding, Social Media Marketing, WordPress, SEO, Communication","HubSpot Content Marketing, Google Digital Marketing, Copywriting Certification",3.7,Digital Marketing,Content Strategist
BBA,English,Brand Communication,8.29,"Content Writing, Social Media Marketing, Research, WordPress, Analytics, SEO, Creativity",Copywriting Certification,2.3,Digital Marketing,Content Strategist
B.Tech,Marketing,Copywriting,7.36,"Content Writing, Copywriting, Research, Communication, SEO","Copywriting Certification, Google Digital Marketing",4.2,EdTech,Content Strategist
B.Tech,English,Brand Communication,8.28,"Research, Creativity, Analytics, Social Media Marketing, Branding","Copywriting Certification, HubSpot Content Marketing",0.1,IT Services,Content Strategist
BBA,Digital Media,Brand Communication,7.12,"Research, Social Media Marketing, Creativity, Analytics, WordPress, Copywriting, Branding","SEO Certification, Google Digital Marketing",4.2,Public Relations,Content Strategist
MBA,Communication,Copywriting,6.78,"Communication, Analytics, SEO, Branding, Social Media Marketing, Content Writing","Copywriting Certification, Google Digital Marketing",2.4,EdTech,Content Strategist
MBA,Computer Science,SEO Strategy,6.65,"WordPress, Communication, Analytics, Copywriting, Content Writing, Research","HubSpot Content Marketing, Google Digital Marketing, Copywriting Certification",2.3,E-commerce,Content Strategist
BBA,Communication,Brand Communication,8.4,"WordPress, Research, SEO, Communication, Analytics","SEO Certification, Copywriting Certification, Google Digital Marketing",3.7,Digital Marketing,Content Strategist
B.Tech,Marketing,Content Marketing,7.91,"Social Media Marketing, Communication, Content Writing, Branding, Research, SEO","HubSpot Content Marketing, SEO Certification",2.1,IT Services,Content Strategist
MBA,English,Brand Communication,7.31,"Branding, Copywriting, Communication, Research",Social Media Strategy,2.7,Public Relations,Content Strategist
MA,Journalism,Media Studies,6.71,"Research, Branding, WordPress, Content Writing, Creativity",HubSpot Content Marketing,3.5,EdTech,Content Strategist
MBA,Communication,Brand Communication,7.35,"SEO, Creativity, Research, Communication, Branding, Copywriting",HubSpot Content Marketing,0.7,Digital Marketing,Content Strategist
B.Tech,Communication,Brand Communication,9.93,"Social Media Marketing, Research, Content Writing, Analytics, Creativity, WordPress","Social Media Strategy, SEO Certification",4.9,Advertising,Content Strategist
MBA,Digital Media,Copywriting,6.92,"WordPress, Content Writing, Branding, SEO, Social Media Marketing, Research, Communication","Copywriting Certification, SEO Certification",3.4,EdTech,Content Strategist
B.Tech,Digital Media,SEO Strategy,7.52,"Social Media Marketing, Communication, Branding, WordPress, Copywriting, Analytics, Content Writing","HubSpot Content Marketing, Google Digital Marketing",2.2,Advertising,Content Strategist
MBA,Digital Media,Content Marketing,8.13,"Content Writing, Analytics, Branding, SEO",Copywriting Certification,3.0,Digital Marketing,Content Strategist
BA,Marketing,Media Studies,7.52,"SEO, Social Media Marketing, Research, Copywriting",Google Digital Marketing,1.6,IT Services,Content Strategist
MBA,Marketing,SEO Strategy,9.81,"SEO, Analytics, Content Writing, Social Media Marketing, Creativity, Research, Communication",Google Digital Marketing,4.9,E-commerce,Content Strategist
MBA,Communication,Media Studies,9.72,"Communication, WordPress, Creativity, SEO, Social Media Marketing, Analytics, Branding","Copywriting Certification, SEO Certification, Social Media Strategy",2.5,IT Services,Content Strategist
B.Tech,Computer Science,Copywriting,7.57,"Research, Communication, WordPress, Branding, Content Writing, Copywriting","SEO Certification, Google Digital Marketing",4.5,Advertising,Content Strategist
BBA,Journalism,SEO Strategy,8.89,"Research, Branding, WordPress, Creativity, Analytics, SEO, Content Writing","HubSpot Content Marketing, Social Media Strategy, SEO Certification",2.9,Public Relations,Content Strategist
BBA,Journalism,Brand Communication,9.49,"Communication, Content Writing, Research, Social Media Marketing, Branding","Copywriting Certification, HubSpot Content Marketing",1.9,Digital Marketing,Content Strategist
MBA,Marketing,Content Marketing,9.08,"Branding, Social Media Marketing, SEO, Creativity, WordPress, Communication, Research","SEO Certification, Copywriting Certification",0.8,E-commerce,Content Strategist
MBA,Marketing,Media Studies,6.53,"Branding, Copywriting, SEO, Research","HubSpot Content Marketing, SEO Certification, Social Media Strategy",4.2,Public Relations,Content Strategist
BBA,Communication,Media Studies,6.66,"Analytics, Branding, Content Writing, SEO","Social Media Strategy, SEO Certification, HubSpot Content Marketing",0.1,E-commerce,Content Strategist
BBA,Marketing,SEO Strategy,6.67,"WordPress, Copywriting, Research, Analytics, Content Writing, Branding, Social Media Marketing","Copywriting Certification, HubSpot Content Marketing",4.2,EdTech,Content Strategist
MBA,Digital Media,Media Studies,9.03,"Content Writing, Branding, Copywriting, SEO, Research, Communication, Creativity","Social Media Strategy, HubSpot Content Marketing",4.3,EdTech,Content Strategist
BBA,Journalism,Digital Marketing,8.75,"Communication, Content Writing, Social Media Marketing, Creativity, SEO, Copywriting, Analytics","Social Media Strategy, SEO Certification",3.3,IT Services,Content Strategist
MA,Business Administration,Content Marketing,8.76,"SEO, Analytics, Content Writing, WordPress, Communication, Copywriting, Research","Copywriting Certification, Social Media Strategy",4.8,Digital Marketing,Content Strategist
BA,Marketing,Copywriting,8.25,"SEO, Branding, Content Writing, Creativity",Copywriting Certification,4.8,Public Relations,Content Strategist
BA,Marketing,Media Studies,9.53,"WordPress, SEO, Branding, Content Writing",SEO Certification,1.4,E-commerce,Content Strategist
MBA,Digital Media,SEO Strategy,9.38,"Analytics, Social Media Marketing, Copywriting, SEO, Communication, WordPress, Branding",Copywriting Certification,2.9,Media,Content Strategist
B.Tech,Marketing,SEO Strategy,8.86,"Communication, Branding, Research, Social Media Marketing, WordPress, SEO, Analytics","Google Digital Marketing, Copywriting Certification",1.2,IT Services,Content Strategist
B.Tech,English,Brand Communication,8.13,"Copywriting, SEO, Analytics, WordPress, Branding",SEO Certification,2.1,Media,Content Strategist
BA,Communication,Brand Communication,7.17,"SEO, Content Writing, Social Media Marketing, Copywriting, Creativity",Social Media Strategy,1.5,Digital Marketing,Content Strategist
B.Tech,English,Brand Communication,7.0,"Branding, WordPress, Analytics, Research","HubSpot Content Marketing, Google Digital Marketing, Copywriting Certification",0.5,IT Services,Content Strategist
MA,Communication,Media Studies,6.72,"Copywriting, Content Writing, Analytics, Creativity, Social Media Marketing, WordPress","Google Digital Marketing, HubSpot Content Marketing",1.0,EdTech,Content Strategist
MBA,Digital Media,SEO Strategy,7.92,"Communication, Analytics, Research, Social Media Marketing, SEO","Google Digital Marketing, HubSpot Content Marketing",2.6,Digital Marketing,Content Strategist
MBA,Communication,Brand Communication,8.03,"Research, Communication, SEO, Analytics, Branding, WordPress, Creativity","Copywriting Certification, SEO Certification",1.5,Digital Marketing,Content Strategist
BA,Marketing,Content Marketing,7.25,"Research, WordPress, Communication, Analytics, Branding",Google Digital Marketing,4.5,IT Services,Content Strategist
B.Tech,Marketing,SEO Strategy,8.1,"Creativity, Analytics, SEO, Content Writing, Research, WordPress","Social Media Strategy, HubSpot Content Marketing",2.2,Digital Marketing,Content Strategist
B.Tech,English,Digital Marketing,9.43,"Research, Social Media Marketing, Copywriting, Creativity, Analytics, SEO","Copywriting Certification, HubSpot Content Marketing",2.5,Media,Content Strategist
MA,Communication,Media Studies,9.88,"Copywriting, Analytics, WordPress, Research","Google Digital Marketing, Copywriting Certification",1.5,E-commerce,Content Strategist
BA,Communication,Brand Communication,9.89,"WordPress, Branding, Social Media Marketing, Creativity, Analytics, Copywriting, Research","Google Digital Marketing, SEO Certification, Copywriting Certification",2.5,Media,Content Strategist
B.Tech,Journalism,Media Studies,8.15,"Research, Branding, Analytics, Communication, Creativity",SEO Certification,1.4,IT Services,Content Strategist
BBA,Marketing,Brand Communication,7.12,"Creativity, Analytics, Research, Communication",Social Media Strategy,1.0,EdTech,Content Strategist
BBA,Computer Science,Brand Communication,9.66,"Communication, Content Writing, Branding, Analytics, Social Media Marketing, WordPress","Social Media Strategy, HubSpot Content Marketing, Copywriting Certification",2.0,IT Services,Content Strategist
MBA,Communication,Media Studies,7.84,"SEO, Creativity, Copywriting, Analytics, Content Writing, Social Media Marketing, WordPress","HubSpot Content Marketing, Social Media Strategy",3.8,E-commerce,Content Strategist
MBA,Marketing,SEO Strategy,8.38,"Analytics, WordPress, Social Media Marketing, Copywriting, Research","Copywriting Certification, HubSpot Content Marketing, Google Digital Marketing",1.0,E-commerce,Content Strategist
BA,Computer Science,Media Studies,7.24,"SEO, Creativity, Analytics, Content Writing, WordPress",Social Media Strategy,3.0,Public Relations,Content Strategist
MA,Journalism,Content Marketing,7.59,"Communication, Creativity, Copywriting, Research","Social Media Strategy, Copywriting Certification, Google Digital Marketing",3.3,Digital Marketing,Content Strategist
B.Tech,English,Content Marketing,8.26,"WordPress, Social Media Marketing, Copywriting, Analytics",Social Media Strategy,1.2,Advertising,Content Strategist
BBA,Communication,Content Marketing,8.89,"Communication, Content Writing, WordPress, Creativity, Social Media Marketing, Copywriting","SEO Certification, Copywriting Certification, Social Media Strategy",2.3,E-commerce,Content Strategist
MA,English,Digital Marketing,8.4,"Creativity, Content Writing, Copywriting, Research, WordPress, Analytics","Copywriting Certification, HubSpot Content Marketing",3.7,Public Relations,Content Strategist
B.Tech,Journalism,SEO Strategy,9.2,"Communication, Copywriting, Research, Branding, SEO, WordPress","Copywriting Certification, SEO Certification",3.9,Media,Content Strategist
MBA,English,Brand Communication,7.26,"Communication, Copywriting, Analytics, Social Media Marketing, Research","HubSpot Content Marketing, Google Digital Marketing, SEO Certification",4.3,IT Services,Content Strategist
MBA,English,Content Marketing,9.16,"Creativity, SEO, Analytics, Research","Social Media Strategy, SEO Certification",1.5,E-commerce,Content Strategist
B.Tech,Computer Science,Content Marketing,8.68,"Social Media Marketing, Content Writing, Research, Branding","Copywriting Certification, SEO Certification",3.5,EdTech,Content Strategist
BA,Digital Media,SEO Strategy,7.35,"Content Writing, Research, Communication, Social Media Marketing",SEO Certification,3.6,Public Relations,Content Strategist
MBA,English,Digital Marketing,8.91,"Communication, Content Writing, Copywriting, Analytics, WordPress",SEO Certification,1.7,E-commerce,Content Strategist
MA,Marketing,Media Studies,8.62,"Communication, Branding, Copywriting, SEO","Social Media Strategy, Google Digital Marketing",2.9,Advertising,Content Strategist
BA,Marketing,Copywriting,7.85,"Analytics, Research, Creativity, WordPress, Content Writing, Copywriting, Branding","Google Digital Marketing, Copywriting Certification",2.8,IT Services,Content Strategist
B.Tech,Business Administration,SEO Strategy,8.87,"Analytics, Research, WordPress, Communication, Social Media Marketing, SEO","Google Digital Marketing, HubSpot Content Marketing, Social Media Strategy",0.9,IT Services,Content Strategist
MBA,Marketing,Brand Communication,7.74,"SEO, Creativity, Communication, Copywriting",HubSpot Content Marketing,1.1,Public Relations,Content Strategist
MA,Journalism,Content Marketing,8.6,"Content Writing, SEO, Copywriting, Communication","HubSpot Content Marketing, Copywriting Certification",1.0,Digital Marketing,Content Strategist
MA,Communication,Content Marketing,9.09,"Communication, SEO, Branding, Content Writing, Analytics, Copywriting, Creativity",HubSpot Content Marketing,4.2,Advertising,Content Strategist
MBA,Computer Science,SEO Strategy,7.94,"Branding, SEO, WordPress, Research","SEO Certification, HubSpot Content Marketing, Copywriting Certification",0.3,Public Relations,Content Strategist
BA,Journalism,Content Marketing,7.43,"Copywriting, Creativity, Content Writing, Research, Communication, Branding, SEO",Social Media Strategy,0.2,Media,Content Strategist
MA,Journalism,Content Marketing,9.68,"WordPress, Communication, SEO, Social Media Marketing, Branding, Analytics, Creativity",HubSpot Content Marketing,2.9,IT Services,Content Strategist
MBA,Communication,SEO Strategy,9.87,"Research, Creativity, Content Writing, Copywriting, Branding","Google Digital Marketing, Social Media Strategy",2.7,EdTech,Content Strategist
B.Tech,Digital Media,SEO Strategy,8.18,"Analytics, Copywriting, Social Media Marketing, Creativity",SEO Certification,1.4,EdTech,Content Strategist
BBA,Computer Science,SEO Strategy,7.1,"Content Writing, SEO, Communication, WordPress","HubSpot Content Marketing, Copywriting Certification",2.3,IT Services,Content Strategist
MA,Marketing,Copywriting,7.1,"Content Writing, Communication, Creativity, Branding, Analytics, Copywriting, Research",Copywriting Certification,3.5,E-commerce,Content Strategist
BBA,English,Brand Communication,7.79,"Social Media Marketing, Branding, Copywriting, Communication, Content Writing","HubSpot Content Marketing, Copywriting Certification, Google Digital Marketing",0.9,Media,Content Strategist
BA,Marketing,Media Studies,7.05,"Copywriting, Research, Social Media Marketing, WordPress, Communication","HubSpot Content Marketing, Copywriting Certification, Social Media Strategy",0.9,Public Relations,Content Strategist
MA,Marketing,Brand Communication,8.17,"Creativity, Communication, SEO, Research, Analytics","SEO Certification, Copywriting Certification, Social Media Strategy",1.3,IT Services,Content Strategist
BA,Journalism,Brand Communication,7.28,"SEO, Content Writing, Communication, Branding, Creativity, Social Media Marketing","HubSpot Content Marketing, Google Digital Marketing",3.7,E-commerce,Content Strategist
BA,Business Administration,Copywriting,8.22,"Social Media Marketing, Analytics, Creativity, Copywriting, Communication, Research",Copywriting Certification,0.5,Digital Marketing,Content Strategist
B.Tech,English,Copywriting,7.11,"Social Media Marketing, Communication, SEO, Copywriting",Copywriting Certification,4.9,IT Services,Content Strategist
BBA,Computer Science,Digital Marketing,9.53,"Content Writing, Copywriting, Social Media Marketing, WordPress","SEO Certification, Copywriting Certification, Social Media Strategy",2.1,IT Services,Content Strategist
BBA,English,Brand Communication,9.85,"Communication, Copywriting, SEO, Analytics, Creativity","HubSpot Content Marketing, SEO Certification, Google Digital Marketing",3.2,IT Services,Content Strategist
MA,Computer Science,Copywriting,7.77,"Branding, Research, WordPress, Content Writing, SEO, Creativity, Social Media Marketing","Social Media Strategy, SEO Certification, Google Digital Marketing",1.7,E-commerce,Content Strategist
BA,English,Copywriting,8.71,"Analytics, Content Writing, WordPress, Social Media Marketing, SEO","Copywriting Certification, HubSpot Content Marketing, Social Media Strategy",1.4,IT Services,Content Strategist
B.Tech,Journalism,Digital Marketing,6.81,"Analytics, Research, SEO, Branding, Creativity, Social Media Marketing","Social Media Strategy, HubSpot Content Marketing, Copywriting Certification",3.8,Digital Marketing,Content Strategist
MBA,Computer Science,SEO Strategy,9.15,"Branding, Creativity, WordPress, Content Writing","Copywriting Certification, Social Media Strategy, Google Digital Marketing",2.1,IT Services,Content Strategist
MBA,Communication,Brand Communication,7.73,"Research, Communication, Copywriting, Social Media Marketing, Creativity","SEO Certification, Social Media Strategy",4.7,Advertising,Content Strategist
MBA,English,Content Marketing,9.44,"Copywriting, Content Writing, Branding, Communication","Social Media Strategy, SEO Certification",2.7,Digital Marketing,Content Strategist
BBA,Journalism,Digital Marketing,9.85,"Copywriting, Analytics, Communication, Branding, SEO, Research","SEO Certification, Google Digital Marketing",3.8,Digital Marketing,Content Strategist
MA,Business Administration,Digital Marketing,6.59,"Branding, Communication, Analytics, Copywriting","SEO Certification, Google Digital Marketing",4.1,Media,Content Strategist
BBA,Digital Media,Copywriting,6.57,"SEO, WordPress, Creativity, Communication, Social Media Marketing, Analytics, Content Writing",Google Digital Marketing,1.7,Digital Marketing,Content Strategist
MBA,English,SEO Strategy,9.45,"Communication, SEO, Branding, Analytics, WordPress","Copywriting Certification, SEO Certification, Social Media Strategy",2.3,Public Relations,Content Strategist
MA,Business Administration,Brand Communication,9.06,"Social Media Marketing, Research, Branding, Content Writing","SEO Certification, Google Digital Marketing",2.0,E-commerce,Content Strategist
B.Tech,English,Media Studies,9.36,"Social Media Marketing, Branding, Analytics, SEO, Content Writing",SEO Certification,3.1,Media,Content Strategist
B.Tech,Journalism,SEO Strategy,8.18,"Communication, Creativity, Research, SEO","Copywriting Certification, HubSpot Content Marketing, SEO Certification",0.6,EdTech,Content Strategist
MA,Communication,Brand Communication,7.86,"Creativity, SEO, WordPress, Communication","Social Media Strategy, SEO Certification, Copywriting Certification",4.9,Advertising,Content Strategist
BA,Digital Media,Copywriting,6.52,"Research, WordPress, Creativity, Copywriting, Content Writing","HubSpot Content Marketing, SEO Certification",1.7,Advertising,Content Strategist
B.Tech,Communication,SEO Strategy,7.55,"WordPress, Content Writing, Research, Copywriting, Branding, Analytics, SEO","Social Media Strategy, HubSpot Content Marketing, SEO Certification",0.9,Media,Content Strategist
B.Tech,Business Administration,SEO Strategy,8.47,"Branding, Social Media Marketing, Research, Copywriting, Analytics, SEO","Social Media Strategy, Copywriting Certification, Google Digital Marketing",0.9,EdTech,Content Strategist
B.Tech,English,Media Studies,7.42,"Content Writing, Research, Copywriting, Creativity, Analytics, Branding, Social Media Marketing",SEO Certification,4.4,Digital Marketing,Content Strategist
BA,Marketing,Content Marketing,8.28,"Social Media Marketing, Communication, Creativity, Branding, WordPress, Content Writing, Analytics","Copywriting Certification, Social Media Strategy",1.7,E-commerce,Content Strategist
M.Ed,Biology,Instructional Design,7.07,"Subject Expertise, Research, Communication, Critical Thinking, Mentoring, Educational Tools, Presentation",NET Qualification,5.1,Research,Academic Instructor/Lecturer
M.Tech,Sociology,Machine Learning,9.63,"Curriculum Development, Research, Mentoring, Critical Thinking, Presentation, Teaching, Subject Expertise",Coursera Teaching Skills,5.5,Education,Academic Instructor/Lecturer
M.Sc,Civil Engineering,Curriculum Design,9.18,"Research, Subject Expertise, Classroom Management, Educational Tools, Critical Thinking, Communication",Teaching Certification,6.3,Research,Academic Instructor/Lecturer
M.Ed,Computer Science,Academic Writing,7.36,"Teaching, Subject Expertise, Curriculum Development, Mentoring, Communication, Classroom Management, Presentation","Teaching Certification, NET Qualification, Educational Technology",9.6,Universities,Academic Instructor/Lecturer
B.Sc,Sociology,Educational Technology,9.17,"Subject Expertise, Educational Tools, Curriculum Development, Classroom Management","NET Qualification, Research Methodology, Coursera Teaching Skills",1.9,Universities,Academic Instructor/Lecturer
M.Tech,Artificial Intelligence,Educational Technology,9.69,"Subject Expertise, Presentation, Classroom Management, Research, Communication",Educational Technology,5.1,Universities,Academic Instructor/Lecturer
M.Sc,Electronics,Higher Education,8.71,"Research, Communication, Curriculum Development, Subject Expertise, Critical Thinking",Teaching Certification,5.3,Training Institutes,Academic Instructor/Lecturer
M.Tech,Civil Engineering,Curriculum Design,7.18,"Research, Communication, Mentoring, Classroom Management, Curriculum Development, Subject Expertise, Presentation",NET Qualification,5.2,Research,Academic Instructor/Lecturer
B.Tech,English,Teaching,7.36,"Mentoring, Curriculum Development, Subject Expertise, Communication","Research Methodology, Teaching Certification, NET Qualification",7.3,Colleges,Academic Instructor/Lecturer
B.Tech,Mechanical Engineering,Instructional Design,6.58,"Classroom Management, Educational Tools, Presentation, Critical Thinking, Research, Curriculum Development, Teaching",NET Qualification,3.5,Colleges,Academic Instructor/Lecturer
M.Sc,Electrical Engineering,Teaching,8.74,"Presentation, Educational Tools, Communication, Mentoring, Subject Expertise","NET Qualification, Research Methodology",6.4,Training Institutes,Academic Instructor/Lecturer
M.Tech,Information Technology,Teaching,8.66,"Classroom Management, Educational Tools, Subject Expertise, Presentation, Mentoring, Curriculum Development, Teaching","Research Methodology, Academic Writing Certification",0.7,Universities,Academic Instructor/Lecturer
M.Sc,Mechanical Engineering,Educational Technology,8.92,"Communication, Educational Tools, Research, Presentation, Mentoring","Academic Writing Certification, Educational Technology",3.9,Research,Academic Instructor/Lecturer
M.Tech,Economics,Instructional Design,8.62,"Mentoring, Subject Expertise, Research, Teaching, Presentation, Educational Tools","Educational Technology, NET Qualification",7.2,Universities,Academic Instructor/Lecturer
