Degree,Major,Specialization,CGPA,Skills,Certifications,Experience,Preferred_Industry,Job_Role
B.Tech,Finance,Marketing Analytics,8.21,"Python, Excel, SQL, Power BI, Problem Solving, Communication, Business Intelligence",SQL Certification,3.0,E-commerce,Business Analyst
B.Tech,Marketing,Operations,8.57,"Python, Statistics, Power BI, Business Intelligence, SQL, Data Visualization","Excel Certification, Power BI Certification, Business Analytics Certification",2.6,E-commerce,Business Analyst
B.Tech,Business Administration,Data Analytics,6.77,"Python, Statistics, Data Visualization, Power BI","SQL Certification, Power BI Certification",2.2,Marketing Analytics,Business Analyst
B.Tech,Information Technology,Financial Management,6.76,"Business Intelligence, Data Visualization, SQL, Python, Power BI, Tableau","Tableau Certification, Google Data Analytics",0.8,Consulting,Business Analyst
BBA,Marketing,Marketing Analytics,8.47,"Statistics, Business Intelligence, Communication, Excel","SQL Certification, Google Data Analytics, Business Analytics Certification",1.3,IT Services,Business Analyst
B.Com,Business Administration,Operations,9.34,"SQL, Problem Solving, Tableau, Data Visualization, Power BI","Power BI Certification, Tableau Certification",0.6,IT Services,Business Analyst
MBA,Data Science,Financial Management,9.68,"Power BI, Tableau, Data Visualization, SQL, Communication, Python","Google Data Analytics, Tableau Certification",0.8,Marketing Analytics,Business Analyst
B.Tech,Marketing,Operations,7.22,"Business Intelligence, Statistics, Python, Tableau","SQL Certification, Power BI Certification",2.7,Healthcare Analytics,Business Analyst
B.Com,Information Technology,Marketing Analytics,6.88,"Statistics, Excel, Business Intelligence, Tableau, SQL, Data Visualization",Excel Certification,0.2,E-commerce,Business Analyst
MBA,Finance,Information Systems,8.37,"Tableau, Power BI, Business Intelligence, Python, Data Visualization, Excel","Excel Certification, Power BI Certification",2.3,Marketing Analytics,Business Analyst
B.Tech,Computer Science,Financial Management,9.4,"Power BI, Tableau, Data Visualization, Statistics, Communication","Power BI Certification, Business Analytics Certification",2.5,Consulting,Business Analyst
BBA,Data Science,Operations,9.89,"Communication, Data Visualization, SQL, Business Intelligence, Tableau","Business Analytics Certification, Excel Certification",2.9,Marketing Analytics,Business Analyst
B.Com,Information Technology,Data Analytics,7.53,"Business Intelligence, Power BI, Problem Solving, SQL, Excel","Excel Certification, Business Analytics Certification",2.5,Banking,Business Analyst
BBA,Marketing,Operations,9.68,"Tableau, Data Visualization, Power BI, Python, Excel, Statistics","Business Analytics Certification, Google Data Analytics",1.2,FinTech,Business Analyst
B.Tech,Business Administration,Financial Management,8.81,"Problem Solving, Excel, Data Visualization, Statistics, Power BI, Communication","Tableau Certification, Google Data Analytics, Excel Certification",1.4,FinTech,Business Analyst
BBA,Commerce,Financial Management,6.57,"Business Intelligence, Data Visualization, Power BI, Tableau, Problem Solving",Google Data Analytics,1.9,Marketing Analytics,Business Analyst
BBA,Computer Science,Marketing Analytics,9.35,"Statistics, Business Intelligence, Tableau, Excel, Python, Problem Solving",Google Data Analytics,1.5,FinTech,Business Analyst
MBA,Finance,Data Analytics,7.79,"Business Intelligence, Python, Power BI, Data Visualization, Tableau, Excel, Problem Solving","Google Data Analytics, Excel Certification",2.7,Healthcare Analytics,Business Analyst
B.Tech,Finance,Business Analytics,6.69,"Excel, Business Intelligence, SQL, Tableau, Problem Solving, Power BI","Power BI Certification, Excel Certification",0.3,E-commerce,Business Analyst
MBA,Business Administration,Business Analytics,9.21,"SQL, Communication, Power BI, Tableau, Problem Solving","Tableau Certification, Google Data Analytics, Power BI Certification",2.8,Marketing Analytics,Business Analyst
B.Tech,Information Technology,Financial Management,6.95,"Problem Solving, Statistics, Python, Tableau, Communication","Google Data Analytics, SQL Certification",2.8,Healthcare Analytics,Business Analyst
MBA,Finance,Business Analytics,8.84,"Problem Solving, Data Visualization, Excel, Communication, Tableau, Business Intelligence, Python",Google Data Analytics,2.5,Consulting,Business Analyst
B.Tech,Finance,Operations,9.53,"Tableau, Communication, Data Visualization, Excel, Power BI, Python","SQL Certification, Excel Certification",1.8,Consulting,Business Analyst
BBA,Information Technology,Information Systems,8.72,"Business Intelligence, Python, Tableau, Statistics, Data Visualization","Business Analytics Certification, Excel Certification",2.0,IT Services,Business Analyst
B.Com,Data Science,Operations,8.83,"Statistics, Problem Solving, Communication, Data Visualization","SQL Certification, Tableau Certification",0.0,FinTech,Business Analyst
B.Tech,Computer Science,Marketing Analytics,8.55,"Tableau, Excel, Communication, Business Intelligence, Statistics","Excel Certification, Google Data Analytics, Power BI Certification",0.6,Marketing Analytics,Business Analyst
MBA,Business Administration,Data Analytics,6.93,"Excel, Business Intelligence, Problem Solving, Communication","SQL Certification, Business Analytics Certification",2.9,Healthcare Analytics,Business Analyst
B.Com,Business Administration,Information Systems,8.4,"Tableau, Communication, Data Visualization, Power BI",Excel Certification,1.6,Marketing Analytics,Business Analyst
BBA,Information Technology,Information Systems,8.52,"Power BI, Data Visualization, Business Intelligence, Statistics",Excel Certification,1.5,FinTech,Business Analyst
BBA,Commerce,Financial Management,9.13,"Data Visualization, Statistics, Problem Solving, Tableau, Excel",SQL Certification,0.1,Banking,Business Analyst
MBA,Marketing,Data Analytics,7.14,"Tableau, Problem Solving, Data Visualization, Business Intelligence, Excel, Python",Tableau Certification,0.1,FinTech,Business Analyst
BBA,Information Technology,Marketing Analytics,9.39,"Tableau, Excel, Problem Solving, Power BI","Tableau Certification, Excel Certification, SQL Certification",2.1,Healthcare Analytics,Business Analyst
B.Tech,Information Technology,Operations,9.08,"Statistics, Python, Problem Solving, Excel, Business Intelligence","Business Analytics Certification, SQL Certification, Google Data Analytics",0.9,E-commerce,Business Analyst
B.Tech,Finance,Information Systems,7.77,"Data Visualization, Excel, Python, Power BI, Business Intelligence","Power BI Certification, Business Analytics Certification, Google Data Analytics",1.5,Marketing Analytics,Business Analyst
BBA,Marketing,Information Systems,8.44,"Power BI, Communication, Statistics, Business Intelligence, Tableau, Problem Solving, SQL",Excel Certification,0.6,Marketing Analytics,Business Analyst
BBA,Information Technology,Financial Management,7.01,"SQL, Statistics, Communication, Python, Data Visualization",SQL Certification,0.6,IT Services,Business Analyst
BBA,Finance,Marketing Analytics,7.02,"Business Intelligence, Communication, Statistics, Python","SQL Certification, Tableau Certification",0.5,FinTech,Business Analyst
MBA,Data Science,Operations,8.81,"Statistics, Python, SQL, Excel","Business Analytics Certification, SQL Certification, Excel Certification",2.3,FinTech,Business Analyst
BBA,Business Administration,Business Analytics,8.98,"Communication, SQL, Tableau, Power BI, Business Intelligence, Problem Solving, Data Visualization","Power BI Certification, Business Analytics Certification, Excel Certification",1.8,IT Services,Business Analyst
MBA,Business Administration,Business Analytics,7.9,"Communication, Excel, Python, Data Visualization, SQL, Business Intelligence, Statistics","Power BI Certification, SQL Certification, Tableau Certification",2.9,Healthcare Analytics,Business Analyst
B.Com,Information Technology,Marketing Analytics,8.74,"Python, Power BI, SQL, Business Intelligence",SQL Certification,1.5,FinTech,Business Analyst
MBA,Marketing,Operations,9.75,"Excel, Power BI, SQL, Tableau",Excel Certification,2.9,Banking,Business Analyst
MBA,Finance,Operations,7.81,"Communication, Problem Solving, Data Visualization, Power BI, Tableau, Statistics","Tableau Certification, Google Data Analytics",1.0,Marketing Analytics,Business Analyst
BBA,Information Technology,Data Analytics,9.21,"Problem Solving, Statistics, Python, Business Intelligence, SQL, Tableau, Data Visualization","Excel Certification, Business Analytics Certification, Tableau Certification",2.0,Marketing Analytics,Business Analyst
B.Tech,Commerce,Operations,7.86,"Excel, Python, Data Visualization, Business Intelligence, Problem Solving, Communication","Business Analytics Certification, Tableau Certification, SQL Certification",1.9,FinTech,Business Analyst
MBA,Information Technology,Financial Management,8.37,"Python, SQL, Tableau, Communication, Excel",Excel Certification,0.7,E-commerce,Business Analyst
B.Com,Marketing,Operations,6.79,"Python, Data Visualization, Tableau, Business Intelligence","Google Data Analytics, SQL Certification, Power BI Certification",0.4,E-commerce,Business Analyst
B.Tech,Computer Science,Business Analytics,7.12,"Excel, Tableau, Python, Statistics","Business Analytics Certification, Tableau Certification",2.0,Consulting,Business Analyst
MBA,Computer Science,Data Analytics,7.79,"Statistics, Problem Solving, Excel, Python","Excel Certification, Tableau Certification",0.3,E-commerce,Business Analyst
B.Tech,Marketing,Business Analytics,9.67,"Statistics, Tableau, Excel, Python, Communication, Business Intelligence",Excel Certification,2.4,Consulting,Business Analyst
MBA,Information Technology,Financial Management,9.1,"Statistics, Business Intelligence, SQL, Problem Solving",Excel Certification,1.7,E-commerce,Business Analyst
MBA,Business Administration,Business Analytics,6.9,"Business Intelligence, Python, Statistics, Communication, SQL","Google Data Analytics, Power BI Certification, SQL Certification",1.8,Banking,Business Analyst
B.Com,Computer Science,Marketing Analytics,9.93,"Python, Power BI, Tableau, Data Visualization",Google Data Analytics,1.4,IT Services,Business Analyst
MBA,Marketing,Data Analytics,7.94,"Problem Solving, Business Intelligence, SQL, Statistics, Excel, Data Visualization","Google Data Analytics, SQL Certification",2.2,FinTech,Business Analyst
B.Com,Finance,Information Systems,8.67,"Tableau, Communication, Business Intelligence, Python, Power BI","Google Data Analytics, Tableau Certification",1.6,Consulting,Business Analyst
B.Tech,Information Technology,Data Analytics,9.11,"Data Visualization, Power BI, SQL, Problem Solving, Statistics, Python, Tableau","Business Analytics Certification, SQL Certification, Excel Certification",2.4,Consulting,Business Analyst
B.Tech,Computer Science,Business Analytics,7.64,"Problem Solving, Communication, Python, Business Intelligence, SQL, Statistics","Tableau Certification, Google Data Analytics, SQL Certification",0.8,E-commerce,Business Analyst
MBA,Information Technology,Business Analytics,8.39,"Business Intelligence, Excel, Python, SQL, Statistics, Power BI, Problem Solving",Excel Certification,1.2,E-commerce,Business Analyst
B.Com,Information Technology,Data Analytics,9.84,"Communication, Power BI, Excel, Problem Solving, Python, Data Visualization","Power BI Certification, Business Analytics Certification",0.2,Marketing Analytics,Business Analyst
B.Com,Business Administration,Marketing Analytics,8.26,"Statistics, Problem Solving, Data Visualization, Tableau",Power BI Certification,1.8,E-commerce,Business Analyst
BBA,Commerce,Operations,7.67,"SQL, Python, Business Intelligence, Problem Solving, Statistics, Excel, Tableau","Power BI Certification, SQL Certification",1.4,IT Services,Business Analyst
B.Tech,Data Science,Marketing Analytics,7.31,"Excel, Tableau, Communication, Business Intelligence, Data Visualization",Business Analytics Certification,0.8,FinTech,Business Analyst
MBA,Information Technology,Financial Management,6.6,"Excel, Problem Solving, Python, Power BI, Data Visualization, Statistics, Communication","Excel Certification, SQL Certification, Tableau Certification",1.6,FinTech,Business Analyst
B.Tech,Information Technology,Data Analytics,8.42,"Data Visualization, Statistics, SQL, Tableau, Communication, Excel","SQL Certification, Business Analytics Certification",0.3,FinTech,Business Analyst
BBA,Data Science,Operations,9.49,"SQL, Statistics, Business Intelligence, Communication, Excel","SQL Certification, Business Analytics Certification",1.5,Healthcare Analytics,Business Analyst
BBA,Computer Science,Business Analytics,6.97,"Communication, SQL, Business Intelligence, Python, Tableau, Power BI, Excel",SQL Certification,2.7,Consulting,Business Analyst
B.Tech,Computer Science,Business Analytics,8.64,"Communication, Problem Solving, Excel, Power BI",SQL Certification,3.0,IT Services,Business Analyst
B.Com,Information Technology,Marketing Analytics,6.71,"Python, Problem Solving, Business Intelligence, Statistics, SQL, Communication, Data Visualization","SQL Certification, Power BI Certification",1.5,IT Services,Business Analyst
B.Com,Marketing,Marketing Analytics,8.71,"SQL, Python, Communication, Tableau, Power BI","Tableau Certification, Business Analytics Certification, Power BI Certification",1.1,FinTech,Business Analyst
BBA,Finance,Data Analytics,9.59,"Problem Solving, Tableau, Communication, Excel, Business Intelligence, Data Visualization, Statistics","Google Data Analytics, Power BI Certification",2.1,FinTech,Business Analyst
MBA,Computer Science,Financial Management,9.18,"Data Visualization, Power BI, Excel, Problem Solving, Tableau","Power BI Certification, SQL Certification, Tableau Certification",0.9,Marketing Analytics,Business Analyst
MBA,Finance,Business Analytics,7.11,"SQL, Business Intelligence, Excel, Communication, Power BI, Python, Statistics","Tableau Certification, SQL Certification, Power BI Certification",2.3,FinTech,Business Analyst
MBA,Marketing,Financial Management,9.81,"Power BI, Problem Solving, Python, Tableau",Tableau Certification,2.9,Consulting,Business Analyst
MBA,Marketing,Operations,6.74,"Statistics, Power BI, Communication, Tableau, Data Visualization","SQL Certification, Excel Certification",1.2,FinTech,Business Analyst
B.Com,Finance,Business Analytics,7.85,"Power BI, Tableau, Excel, Problem Solving, Communication","Business Analytics Certification, Google Data Analytics",0.5,Consulting,Business Analyst
MBA,Data Science,Business Analytics,8.28,"Python, SQL, Tableau, Communication","SQL Certification, Power BI Certification, Google Data Analytics",0.7,Marketing Analytics,Business Analyst
BBA,Data Science,Business Analytics,8.62,"Communication, Statistics, Python, Power BI, Data Visualization","Power BI Certification, Google Data Analytics",2.0,Marketing Analytics,Business Analyst
BBA,Marketing,Marketing Analytics,9.01,"Problem Solving, Business Intelligence, Data Visualization, Statistics, Communication, Tableau, SQL","Tableau Certification, Google Data Analytics",1.4,Marketing Analytics,Business Analyst
B.Tech,Finance,Business Analytics,7.61,"Tableau, Excel, Data Visualization, Python, SQL, Power BI, Statistics","SQL Certification, Tableau Certification",0.4,Healthcare Analytics,Business Analyst
BBA,Computer Science,Business Analytics,7.19,"Power BI, Data Visualization, SQL, Python, Excel","Excel Certification, SQL Certification, Power BI Certification",1.3,E-commerce,Business Analyst
B.Tech,Marketing,Data Analytics,9.07,"Problem Solving, Excel, Communication, Data Visualization","Google Data Analytics, Business Analytics Certification",0.4,E-commerce,Business Analyst
B.Com,Finance,Information Systems,8.28,"Excel, Communication, Business Intelligence, SQL, Power BI, Python","Google Data Analytics, Excel Certification, Business Analytics Certification",1.6,IT Services,Business Analyst
BBA,Finance,Financial Management,7.54,"Statistics, Tableau, SQL, Problem Solving","Excel Certification, Power BI Certification",1.3,IT Services,Business Analyst
B.Tech,Business Administration,Marketing Analytics,9.73,"Business Intelligence, Excel, SQL, Communication, Tableau, Power BI","Business Analytics Certification, Excel Certification, Google Data Analytics",0.4,Consulting,Business Analyst
B.Tech,Finance,Marketing Analytics,7.55,"Power BI, Business Intelligence, Problem Solving, Excel","Tableau Certification, Google Data Analytics, Business Analytics Certification",2.3,Banking,Business Analyst
MBA,Commerce,Business Analytics,7.56,"Power BI, Tableau, Statistics, Problem Solving, Business Intelligence, Excel, Python",Tableau Certification,0.0,FinTech,Business Analyst
MBA,Finance,Marketing Analytics,8.2,"Statistics, Communication, Problem Solving, Power BI, Business Intelligence",Business Analytics Certification,1.6,IT Services,Business Analyst
MBA,Commerce,Data Analytics,6.9,"Excel, Tableau, Problem Solving, Communication, Statistics, Business Intelligence, Power BI",Excel Certification,2.9,Marketing Analytics,Business Analyst
B.Com,Data Science,Business Analytics,8.37,"Power BI, Tableau, Communication, SQL",Excel Certification,1.8,Marketing Analytics,Business Analyst
BBA,Business Administration,Business Analytics,8.54,"Problem Solving, Excel, SQL, Data Visualization, Python",Excel Certification,1.0,IT Services,Business Analyst
B.Com,Finance,Marketing Analytics,8.26,"SQL, Power BI, Communication, Business Intelligence, Statistics, Problem Solving, Data Visualization","Business Analytics Certification, Power BI Certification, Google Data Analytics",1.0,Marketing Analytics,Business Analyst
BBA,Information Technology,Information Systems,9.45,"Problem Solving, Excel, Python, Communication, Business Intelligence, Data Visualization",Excel Certification,2.9,Banking,Business Analyst
MBA,Computer Science,Data Analytics,9.9,"Excel, Communication, Tableau, Power BI, Problem Solving, Business Intelligence",Excel Certification,1.5,E-commerce,Business Analyst
B.Tech,Finance,Data Analytics,9.13,"Tableau, Python, SQL, Excel","Business Analytics Certification, Power BI Certification",0.3,Banking,Business Analyst
MBA,Business Administration,Marketing Analytics,9.28,"Python, Tableau, Excel, Power BI, Problem Solving, Communication",Tableau Certification,1.6,IT Services,Business Analyst
B.Tech,Information Technology,Business Analytics,9.46,"Power BI, Tableau, Python, Excel, Business Intelligence, SQL","Excel Certification, Business Analytics Certification",0.6,Consulting,Business Analyst
B.Tech,Marketing,Business Analytics,8.22,"Problem Solving, Business Intelligence, Tableau, Data Visualization","SQL Certification, Tableau Certification",0.1,IT Services,Business Analyst
MBA,Commerce,Information Systems,7.33,"Excel, Power BI, SQL, Problem Solving, Business Intelligence, Statistics","Tableau Certification, SQL Certification, Excel Certification",1.6,Marketing Analytics,Business Analyst
B.Com,Information Technology,Marketing Analytics,8.59,"SQL, Problem Solving, Python, Statistics, Communication, Data Visualization, Excel","SQL Certification, Tableau Certification",1.9,Marketing Analytics,Business Analyst
B.Tech,Data Science,Financial Management,8.7,"Business Intelligence, Communication, Statistics, Data Visualization","Excel Certification, SQL Certification",1.2,Healthcare Analytics,Business Analyst
BBA,Data Science,Operations,7.5,"Business Intelligence, Communication, Statistics, Power BI","Excel Certification, Power BI Certification, Business Analytics Certification",2.0,E-commerce,Business Analyst
MBA,Finance,Marketing Analytics,8.52,"Communication, Business Intelligence, Excel, Problem Solving, Statistics, Data Visualization, Tableau",Power BI Certification,0.2,E-commerce,Business Analyst
MBA,Finance,Operations,9.36,"Communication, Business Intelligence, Tableau, Problem Solving, Power BI","Excel Certification, Business Analytics Certification, Google Data Analytics",1.5,IT Services,Business Analyst
B.Com,Commerce,Financial Management,8.98,"Statistics, Python, Problem Solving, Business Intelligence, Communication, SQL, Power BI",Tableau Certification,0.2,Consulting,Business Analyst
B.Com,Information Technology,Information Systems,9.82,"Business Intelligence, Statistics, SQL, Tableau, Problem Solving","Business Analytics Certification, Google Data Analytics",1.5,Healthcare Analytics,Business Analyst
BBA,Computer Science,Marketing Analytics,6.68,"Power BI, Python, Data Visualization, SQL, Excel",Business Analytics Certification,0.3,E-commerce,Business Analyst
B.Com,Marketing,Operations,7.86,"SQL, Data Visualization, Business Intelligence, Communication","Excel Certification, Tableau Certification, SQL Certification",2.8,Consulting,Business Analyst
MBA,Business Administration,Business Analytics,9.56,"SQL, Statistics, Communication, Python",Business Analytics Certification,0.9,E-commerce,Business Analyst
MBA,Finance,Business Analytics,9.91,"Statistics, Communication, SQL, Business Intelligence, Power BI, Excel","Tableau Certification, Google Data Analytics, Excel Certification",2.4,IT Services,Business Analyst
B.Com,Commerce,Business Analytics,7.94,"Communication, Tableau, Python, SQL, Data Visualization, Power BI, Problem Solving","Business Analytics Certification, Tableau Certification",2.9,Healthcare Analytics,Business Analyst
M.Tech,Information Technology,Cloud Security,8.9,"Networking, Cyber Threat Analysis, Firewalls, Risk Assessment, Linux, Cryptography",CISSP,1.8,Cybersecurity,Cyber Security Analyst
MCA,Cybersecurity,Cyber Security,9.51,"Ethical Hacking, Firewalls, Penetration Testing, Cryptography, SIEM Tools","CEH (Certified Ethical Hacker), CISSP",3.6,Banking,Cyber Security Analyst
B.Tech,Computer Science,Digital Forensics,7.51,"Linux, Risk Assessment, Python, Networking, Cryptography",CCNA Security,0.0,Cloud Security,Cyber Security Analyst
M.Tech,Network Security,Digital Forensics,7.98,"Networking, Cryptography, Penetration Testing, Linux",CEH (Certified Ethical Hacker),2.7,Banking,Cyber Security Analyst
B.Tech,Data Science,Network Defense,8.74,"Cryptography, SIEM Tools, Ethical Hacking, Penetration Testing, Python",CEH (Certified Ethical Hacker),4.4,FinTech,Cyber Security Analyst
MCA,Network Security,Network Defense,7.83,"Ethical Hacking, Cyber Threat Analysis, Risk Assessment, Penetration Testing, Python, Networking, Firewalls","Cybersecurity Fundamentals, ISO 27001 Certification, CISSP",1.7,IT Services,Cyber Security Analyst
M.Tech,Data Science,Information Security,8.72,"Cyber Threat Analysis, Ethical Hacking, Penetration Testing, Python, Cryptography","Cybersecurity Fundamentals, ISO 27001 Certification",0.1,FinTech,Cyber Security Analyst
MCA,Computer Science,Cloud Security,8.46,"Networking, Linux, Python, Cryptography",CEH (Certified Ethical Hacker),2.9,Cybersecurity,Cyber Security Analyst
BCA,Network Security,Cloud Security,8.56,"Ethical Hacking, Linux, Cyber Threat Analysis, Risk Assessment","CompTIA Security+, CISSP, Cybersecurity Fundamentals",1.2,Cloud Security,Cyber Security Analyst
BCA,Computer Science,Cloud Security,7.89,"Firewalls, Ethical Hacking, Penetration Testing, Python, Risk Assessment","Cybersecurity Fundamentals, CCNA Security, ISO 27001 Certification",3.4,Cloud Security,Cyber Security Analyst
B.Sc,Network Security,Network Defense,7.41,"Penetration Testing, Risk Assessment, SIEM Tools, Firewalls, Python","CISSP, Cybersecurity Fundamentals",3.4,Government/Defense,Cyber Security Analyst
MCA,Network Security,Network Defense,9.79,"Cryptography, SIEM Tools, Ethical Hacking, Linux","ISO 27001 Certification, Cybersecurity Fundamentals",1.4,FinTech,Cyber Security Analyst
BCA,Cybersecurity,Information Security,9.7,"Penetration Testing, Risk Assessment, Firewalls, SIEM Tools, Linux, Cyber Threat Analysis",CCNA Security,3.0,FinTech,Cyber Security Analyst
BCA,Cybersecurity,Cyber Security,9.09,"Ethical Hacking, Firewalls, Networking, Risk Assessment, Cyber Threat Analysis, Cryptography, Python","CISSP, CompTIA Security+, Cybersecurity Fundamentals",4.6,Government/Defense,Cyber Security Analyst
